sku,name,category,subcategory,typical_price_usd,cashback_rate
FOOD039,Chicken Soup,food,soup,6.50,0.05
FOOD040,Miso Soup,food,soup,4.50,0.05
FOOD041,Beef Curry,food,curry,12.00,0.05
FOOD042,Vegetable Curry,food,curry,10.00,0.05
FOOD043,Pad Thai,food,asian,11.00,0.05
FOOD044,Dim Sum,food,asian,9.00,0.05
FOOD045,Spring Roll,food,asian,5.00,0.05
FOOD046,Dumplings,food,asian,7.00,0.05
FOOD047,Taco,food,mexican,4.50,0.05
FOOD048,Burrito,food,mexican,9.00,0.05
FOOD049,Quesadilla,food,mexican,8.00,0.05
FOOD050,Nachos,food,mexican,7.50,0.05
BAKE001,White Bread,bakery,bread,3.50,0.04
BAKE002,Whole Wheat Bread,bakery,bread,4.00,0.04
BAKE003,Bagel,bakery,bread,2.50,0.04
BAKE004,Croissant,bakery,pastry,3.50,0.04
BAKE005,Danish Pastry,bakery,pastry,3.00,0.04
BAKE006,Cinnamon Roll,bakery,pastry,3.50,0.04
BAKE007,Donut,bakery,donut,2.00,0.04
BAKE008,Glazed Donut,bakery,donut,2.50,0.04
BAKE009,Chocolate Donut,bakery,donut,2.50,0.04
BAKE010,Muffin,bakery,muffin,3.00,0.04
BAKE011,Blueberry Muffin,bakery,muffin,3.50,0.04
BAKE012,Chocolate Chip Muffin,bakery,muffin,3.50,0.04
BAKE013,Cheese Bun,bakery,bun,3.00,0.04
BAKE014,Red Bean Bun,bakery,bun,3.00,0.04
BAKE015,Cheese Tart,bakery,tart,4.00,0.04
BAKE016,Egg Tart,bakery,tart,3.00,0.04
DESS001,Vanilla Ice Cream,dessert,icecream,4.50,0.04
DESS002,Chocolate Ice Cream,dessert,icecream,4.50,0.04
DESS003,Cheesecake,dessert,cake,6.50,0.04
DESS004,Chocolate Cake,dessert,cake,6.00,0.04
DESS005,Tiramisu,dessert,cake,7.00,0.04
DESS006,Brownie,dessert,cake,4.00,0.04
DESS007,Cookie,dessert,cookie,2.00,0.04
DESS008,Pudding,dessert,pudding,4.00,0.04
SNACK001,Potato Chips,snack,chips,3.50,0.02
SNACK002,Tortilla Chips,snack,chips,3.50,0.02
SNACK003,Popcorn,snack,popcorn,4.00,0.02
SNACK004,Mixed Nuts,snack,nuts,5.00,0.02
SNACK005,Chocolate Bar,snack,candy,2.50,0.02
MISC001,Plastic Bag Small,misc,packaging,0.10,0.00
MISC002,Plastic Bag Medium,misc,packaging,0.15,0.00
MISC003,Paper Bag,misc,packaging,0.20,0.00
MISC004,Takeout Container,misc,packaging,0.30,0.00
MISC005,Napkins,misc,packaging,0.50,0.00
